Date,MMM,AXP,AAPL,BA,CAT,CVX,CSCO,KO,DIS,DWDP,XOM,GS,HD,IBM,INTC,JNJ,JPM,MCD,MRK,MSFT,NKE,PFE,PG,TRV,UTX,UNH,VZ,V,WMT,WBA
2000-01-03 00:00:00+00:00,29.6387776303,35.476633939,3.5155159536,26.515731473899997,14.56088718,21.3668586266,43.0038761666,16.8362200308,23.5222201544,,23.60064835,72.0257042101,44.8069714821,80.5008430997,28.5251231765,28.397150230500003,26.8625100538,24.2406310367,32.676443058400004,37.972085166199996,4.6893438988,16.7468563551,32.2277261182,20.0411036496,21.1935387053,5.8192831295000005,22.564221410300004,,47.0835340915,21.581551153499998
2000-01-04 00:00:00+00:00,28.461140248299998,34.134274817,3.2190493589999996,26.476145908099998,14.3722513806,21.3668586266,40.5772004532,16.893089040699998,24.8998602237,,23.1485863844,67.4909639156,40.2087410907,77.7665903254,27.1939507616,27.3560137972,26.2800650712,23.739058555,31.5265105657,36.6885400774,4.434022182,16.1217384422,31.596399393899997,19.7738889343,20.32545136,5.7445797739,21.833914611199997,,45.3216895289,20.7805552073
2000-01-05 00:00:00+00:00,29.9119895029,33.9594297213,3.2661573984,28.330069905100004,14.914205026400001,21.8293005029,40.8954530058,17.0786615992,25.781549868000003,,24.2998375234,64.995225552,42.4425600402,80.5008430997,27.748059476199998,27.781093169400002,26.116926969699996,24.2406310367,32.9760053044,37.076209786999996,4.6903184092000005,16.4159115777,31.3258307977,19.9682269091,20.1355572532,5.731587886,22.564221410300004,,44.2645827914,20.9694693456
2000-01-06 00:00:00+00:00,31.6548928283,33.9594297213,2.983509162,28.4092410367,15.4591528913,22.6749815032,39.7815690718,17.0607029645,24.8998602237,,25.6741058988,67.0831635294,41.239734452,79.112897529,25.820154599400002,28.5111207868,26.4876953821,23.7818757181,33.038816743000005,35.8350151706,4.6659556499,16.9727392984,32.4381683597,20.0046652794,20.8747878832,5.9416234074,22.4494051351,,44.884752077399995,20.4027269308
2000-01-07 00:00:00+00:00,32.2829660987,34.4339127713,3.1248332802,29.233940323600002,15.9621816896,23.0735501922,42.128681647,18.1831176333,24.5062487753,,25.598762237800003,67.33599976880001,43.6453856284,78.7659111363,26.8857482813,29.7247531971,26.973402002399997,24.393549476300002,36.2083785716,36.3041280965,4.6659556499,18.1231663817,35.0236016117,20.8002363636,21.7021836343,6.6377720682,22.2826922531,,48.2745410159,20.9241299524
2000-01-10 00:00:00+00:00,32.1259477811,34.9309902523,3.0698739009,28.8248894773,15.438193358,22.4527028113,43.6801628408,17.6024551113,28.2455575348,,25.2401264118,68.8203931746,43.432313666999995,81.8887886704,28.1152794527,28.9731635826,26.5099414869,24.5036507527,35.1502474124,36.5680041173,4.7448909899,18.0916478315,34.8432225476,20.4237065375,21.9158145044,6.5230103916,22.1652354499,,47.3936187346,21.536211760300002
2000-01-11 00:00:00+00:00,31.5606818377,35.247312285599996,2.9128471029000003,28.369655470900003,15.195661615999999,22.2431987568,42.3673710615,18.201076267999998,28.5368300066,,25.541501055500003,69.1711015067,42.3119675478,82.5827614557,29.4071068701,28.9731635826,25.883342869899998,25.0786240854,35.1792373071,35.6297782655,4.9826715201,18.0601292813,35.4144229172,20.1929301924,21.4071695755,6.5370849369,21.956844347399997,,46.6888809095,22.390103665199998
2000-01-12 00:00:00+00:00,31.6548928283,35.066556838000004,2.7382333035000004,28.4092410367,15.4591528913,22.1639960046,41.2932686965,18.407600567,26.521539390900003,,25.164782750900002,68.8203931746,41.968303094,82.9297478484,29.918591837399998,28.800667605500003,26.046480971399998,26.1490531623,35.9667961151,34.4700268655,4.8121322054,18.4541111591,35.1739174984,20.2293685627,21.8920777411,6.475373469299999,21.2180031657,,45.85024289770001,22.8586107281
2000-01-13 00:00:00+00:00,31.6548928283,35.247312285599996,3.0384685413,27.960604624600002,15.6268291574,22.3709451315,42.2480263542,18.1262486234,27.4032290353,,25.749449559699997,68.9182652673,42.703745025,82.0622818667,29.8562955914,28.763704181799998,26.4394954885,25.879916708699998,36.1165772381,35.1215725959,4.8725518483,19.436439308,34.5726539514,20.648409820799998,22.1260544084,6.6789130466,21.0512902837,,45.8995745455,22.813271334899998
2000-01-14 00:00:00+00:00,31.1869782418,36.0381173689,3.1543543182,29.0294149005,15.551973681400002,22.2278691919,42.8049683212,18.2759039125,26.419200414299997,,25.2401264118,69.8398941401,42.573152532600005,83.0130245826,33.8039103391,28.8591930263,27.3923703084,26.063418836100002,35.8170149921,36.5680041173,5.0002127067,19.436439308,35.1739174984,20.648409820799998,21.6377552766,6.671334445399999,21.3354599689,,45.4555897157,22.2465289201
